Field,Description
AdditionalAttributes/DataType,"UMM-Common JSON schema DataTypeEnum = [""STRING"", ""FLOAT"", ""INT"", ""BOOLEAN"", ""DATE"", ""TIME"", ""DATETIME"", ""DATE_STRING"", ""TIME_STRING"", ""DATETIME_STRING""]"
ArchiveAndDistributionInformation/FileArchiveInformation/AverageFileSizeUnit,"UMM-C JSON schema ArchiveDistributionUnitEnum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB"", ""NA""]"
ArchiveAndDistributionInformation/FileArchiveInformation/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv.
Only values in the ""Short_Name"" column."
ArchiveAndDistributionInformation/FileArchiveInformation/FormatType,"UMM-C JSON schema ArchiveDistributionFormatTypeEnum = [""Native"", ""Supported""]"
ArchiveAndDistributionInformation/FileArchiveInformation/TotalCollectionFileSizeUnit,"UMM-C JSON schema ArchiveDistributionUnitEnum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB"", ""NA""]"
ArchiveAndDistributionInformation/FileDistributionInformation/AverageFileSizeUnit,"UMM-C JSON schema ArchiveDistributionUnitEnum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB"", ""NA""]"
ArchiveAndDistributionInformation/FileDistributionInformation/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv.  
Only values in the Short_Name column."
ArchiveAndDistributionInformation/FileDistributionInformation/FormatType,"UMM-C JSON schema ArchiveDistributionFormatTypeEnum = [""Native"", ""Supported""]"
ArchiveAndDistributionInformation/FileDistributionInformation/TotalCollectionFileSizeUnit,"UMM-C JSON schema ArchiveDistributionUnitEnum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB"", ""NA""]"
CollectionDataType,"UMM-C JSON schema CollectionDataTypeEnum = [""SCIENCE_QUALITY"", ""NEAR_REAL_TIME"", ""OTHER""]"
CollectionProgress,"UMM-C JSON schema CollectionProgress [""ACTIVE"", ""PLANNED"", ""COMPLETE"", ""DEPRECATED"", ""NOT APPLICABLE"", ""NOT PROVIDED""]"
ContactGroups/ContactInformation/ContactMechanisms/Type,"UMM-Common JSON schema ContactMechanismTypeEnum = [""Direct Line"", ""Email"", ""Facebook"", ""Fax"", ""Mobile"", ""Modem"", ""Primary"", ""TDD/TTY Phone"", ""Telephone"", ""Twitter"", ""U.S. toll free"", ""Other""]"
ContactGroups/ContactInformation/RelatedUrls/GetData/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv
Only values in the ""Short_Name"" column."
ContactGroups/ContactInformation/RelatedUrls/GetData/Unit,"UMM-Common JSON schema GetDataType Unit enum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB""]"
ContactGroups/ContactInformation/RelatedUrls/GetData/MimeType,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/MimeType/?format=csv
ContactGroups/ContactInformation/RelatedUrls/GetService/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv
Only values in the ""Short_Name"" column."
ContactGroups/ContactInformation/RelatedUrls/GetService/MimeType,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/MimeType/?format=csv
ContactGroups/ContactInformation/RelatedUrls/GetService/Protocol,"UMM-Common JSON schema GetServiceType Protocol enum = [""HTTP"", ""HTTPS"", ""FTP"", ""FTPS"", ""Not provided""]"
ContactGroups/ContactInformation/RelatedUrls/Subtype,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/rucontenttype/?format=csv.  
Only values in the ""Subtype"" column."
ContactGroups/ContactInformation/RelatedUrls/Type,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/rucontenttype/?format=csv. 
Only values in the ""Type"" column."
ContactGroups/ContactInformation/RelatedUrls/URLContentType,"UMM-Common JSON schema RelatedURLContentTypeEnum = [""CollectionURL"", ""PublicationURL"", ""DataCenterURL"", ""DistributionURL"", ""DataContactURL"", ""VisualizationURL""]"
ContactGroups/Roles,"UMM-Common JSON schema DataContactRoleEnum = [""Data Center Contact"", ""Technical Contact"", ""Science Contact"", ""Investigator"", ""Metadata Author"", ""User Services"", ""Science Software Development""]"
ContactPersons/ContactInformation/ContactMechanisms/Type,"UMM-Common JSON schema ContactMechanismTypeEnum = [""Direct Line"", ""Email"", ""Facebook"", ""Fax"", ""Mobile"", ""Modem"", ""Primary"", ""TDD/TTY Phone"", ""Telephone"", ""Twitter"", ""U.S. toll free"", ""Other""]"
ContactPersons/ContactInformation/RelatedUrls/GetData/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv.  
Only values in the ""Short_Name"" column."
ContactPersons/ContactInformation/RelatedUrls/GetData/Unit,"UMM-Common JSON schema GetDataType Unit enum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB""]"
ContactPersons/ContactInformation/RelatedURLs/GetService/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv.  
Only values in the ""Short_Name"" column."
ContactPersons/ContactInformation/RelatedUrls/GetService/MimeType,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/MimeType/?format=csv
ContactPersons/ContactInformation/RelatedUrls/GetService/Protocol,"UMM-Common JSON schema GetServiceType Protocol enum = [""HTTP"", ""HTTPS"", ""FTP"", ""FTPS"", ""Not provided""]"
ContactPersons/ContactInformation/RelatedUrls/Subtype,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/rucontenttype/?format=csv.  
Only values in the ""Subtype"" column."
ContactPersons/ContactInformation/RelatedUrls/Type,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/rucontenttype/?format=csv.  
Only values in the ""Type"" column."
ContactPersons/ContactInformation/RelatedUrls/URLContentType,"UMM-Common JSON schema RelatedURLContentTypeEnum = [""CollectionURL"", ""PublicationURL"", ""DataCenterURL"", ""DistributionURL"", ""DataContactURL"", ""VisualizationURL""]"
ContactPersons/Roles,"UMM-Common JSON schema DataContactRoleEnum = [""Data Center Contact"", ""Technical Contact"", ""Science Contact"", ""Investigator"", ""Metadata Author"", ""User Services"", ""Science Software Development""]"
DOI/Authority,"UMM-C JSON schema Authority [""https://doi.org/""]"
DOI/MissingReason,"UMM-Common JSON schema ""MissingReason"" enum = [""Not Applicable"", ""Unknown""]"
DataCenters/Contact Information/ContactMechanisms/Type,"UMM-Common JSON schema ContactMechanismTypeEnum = [""Direct Line"", ""Email"", ""Facebook"", ""Fax"", ""Mobile"", ""Modem"", ""Primary"", ""TDD/TTY Phone"", ""Telephone"", ""Twitter"", ""U.S. toll free"", ""Other""]"
DataCenters/ContactGroups/Contact Information/ContactMechanisms/Type,"UMM-Common JSON schema ContactMechanismTypeEnum = [""Direct Line"", ""Email"", ""Facebook"", ""Fax"", ""Mobile"", ""Modem"", ""Primary"", ""TDD/TTY Phone"", ""Telephone"", ""Twitter"", ""U.S. toll free"", ""Other""]"
DataCenters/ContactGroups/ContactInformation/RelatedUrls/GetData/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv
Only values in the ""Short_Name"" column."
